Recall status,Name of Recall,Campaign/NHTSA,Date of recall,description,Safety Risk,Remedy,link
incomplete,# 17469 : Fuel Leaks at the Primary Fuel Pump Module Flange,,2018-04-18,"Some 2014-2017 model year Chevrolet Corvette vehicles, may have a condition where cracks on the top surface of the left fuel tank fuel pump module flange, may cause fuel odor, or a loss of fuel on the ground. A Check Engine lamp may illuminate if the fuel tank is less than half full.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the fuel pump module upon confirmation of the fuel pump module flange leak.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YH2D77F5104455/gfas?cb=16777551996700.4782935067564471
complete,Charge Air Cooler Duct Disconnect at Throttle Body,,2019-12-03,"General Motors has decided to conduct a voluntary emissions recall involving certain 2019 model year Chevrolet Equinox, Malibu, and GMC Terrain vehicles equipped with a 1.5-liter, 4 cylinder engine (RPO LYX or LFV).  Under certain conditions the engine intake charge air cooler outlet duct may become disconnected from the throttle body when turbo boost is active.  If this condition occurs, a reduced engine power message will be displayed, the available engine power will be reduced, the engine may run rough, and the malfunction indicator lamp (check engine light) will illuminate.  When the vehicle reaches low speed or idle, the engine could stall.  If this condition occurs the engine control module will set one or more of these diagnostic trouble codes:  P0172 (Fuel Trim System Rich), P0299 (Engine Underboost), P0101 (Mass Air Flow (MAF) Sensor Performance), P1101 (Intake Air Flow System Performance), or P0506 (Idle Speed Low).",,Dealers are to install an improved charge air cooler retainer.,https://www.chevrolet.com/ownercenter/api/2GNAXXEV4K6216917/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator - Priority Group 9,21V053,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFK26349R150680/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 11273,,2000-05-09,"Some 2008-2009 Chevrolet TrailBlazer; GMC Envoy; HUMMER H2; Saab 9-7x; 2008-2011 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; GMC Savana, Sierra, Yukon, Yukon XL; 2008-2010 HUMMER H3; 2009-2011 Chevrolet Colorado; GMC Canyon; and 2009-2010 HUMMER H3T vehicles, equipped with a V8 engine, may have a condition where the throttle position sensor may cause the engine to run rough and cause the malfunction indicator lamp and/or an Engine Reduced Power message to illuminate. If this occurs, it could result in reduced engine power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1GNFK26349R150680/gfas?cb=16777551996700.4782935067564471
complete,# 07268 : NAVIGATION SYSTEM MAP DVD UPGRADE,,2007-09-25,,,,https://www.chevrolet.com/ownercenter/api/1GNFK163X8J120784/gfas?cb=16777551996700.4782935067564471
incomplete,Front Passenger Airbag Takata Inflator - Priority Group 8,21V052,2021-02-05,"TK Holdings Inc. (“Takata”) has decided that a defect which relates to motor vehicle safety exists in the passenger-side frontal airbag inflators installed as original equipment in certain 2007 to 2014 model year Cadillac Escalade, Escalade ESV, and Escalade EXT vehicles; certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, and Tahoe vehicles; and certain GMC Sierra 1500, Sierra 2500/3500, Yukon, and Yukon XL vehicles.  The determination was made that the propellant in these inflators may degrade after long-term exposure to high humidity and temperature cycling, which could cause the inflator to rupture during a deployment.","An inﬂator rupture may cause metal fragments to pass through the airbag and into the vehicle interior at high speed, which may result in injury or death to vehicle occupants.",Dealers will replace the passenger-side frontal airbag inflator.,https://www.chevrolet.com/ownercenter/api/1GNFK163X8J120784/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 11273,,2000-05-09,"Some 2008-2009 Chevrolet TrailBlazer; GMC Envoy; HUMMER H2; Saab 9-7x; 2008-2011 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; GMC Savana, Sierra, Yukon, Yukon XL; 2008-2010 HUMMER H3; 2009-2011 Chevrolet Colorado; GMC Canyon; and 2009-2010 HUMMER H3T vehicles, equipped with a V8 engine, may have a condition where the throttle position sensor may cause the engine to run rough and cause the malfunction indicator lamp and/or an Engine Reduced Power message to illuminate. If this occurs, it could result in reduced engine power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1GNFK163X8J120784/gfas?cb=16777551996700.4782935067564471
complete,# 10153 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - DISABLE AND REMOVE MODULE,10V240,2010-06-08,"GM is recalling certain model year 2006-2009 Buick Lucerne; Cadillac DTS; Hummer H2; model year 2008-2009 Buick Enclave; Cadillac CTS; model year 2007-2009 Cadillac Escalade, Escalade ESV, Escalade EXT; Chevrolet Avalanche, Silverado, Suburban, Tahoe; GMC Acadia, Sierra, Yukon, Yukon XL; Saturn Outlook; and model year 2009 Chevrolet Traverse vehicles equipped with a heated washer fluid system (HWFS).  A recall was implemented in 2008 to add a fuse to the control circuit harness to address the potential consequences of a printed circuit board (PCB) electrical short.  However, there have been new reports of thermal incidents on HWFS modules after this improvement was installed.  These incidents resulted from a new failure mode attributed to the device's thermal protection feature.  The significance varies from minor distortion to considerable melting of the plastic around the HWFS fluid chamber.",It is possible for the heated washer module to ignite and a fire may occur.,Dealers will permanently disable and remove the heated washer fluid module free of charge.  An updated page for the owner manual will be provided and inserted in the owner manual to document that the feature has been permanently disabled and removed from the vehicle.,https://www.chevrolet.com/ownercenter/api/1GNFK163X8J120784/gfas?cb=16777551996700.4782935067564471
complete,# 08048 : HEATED WINDSHIELD WASHER MODULE SHORT CIRCUIT - ADD WIRE HARNESS,,2008-08-28,,,,https://www.chevrolet.com/ownercenter/api/1GNFK163X8J120784/gfas?cb=16777551996700.4782935067564471
complete,# 11261 : TIRE PRESSURE MONITOR SYSTEM UPDATE,11V511,2011-10-13,"General Motors is recalling certain model year 2012 Chevrolet Equinox  and GMC Terrain vehicles, manufactured from July 18, 2011, through September 6, 2011, for failing to comply with the requirements of Federal Motor Vehicle Safety Standard Number 138, ""Tire Pressure Monitoring System"" (TPMS).  The Tire Pressure Monitoring System is designed to illuminate the tire pressure warning light when the pressure in a tire is 25% below the recommended cold tire pressure.  On these vehicles, the light will not illuminate until the tire pressure is more than 25% below the recommended cold tire pressure.","Underinflated tires can result in tire overloading and overheating, which could lead to a blowout and possible crash.  The resulting crash could cause serious injury.  underinflated tires can also result in premature or irregular wear, poor handling, and poor fuel economy.",Dealers will update the body control module free of charge.,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
complete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,# 17097 : Fuel Leak at Fuel Compression Sensor,,2017-05-01,"Some 2011-2013 model year Chevrolet Equinox and GMC Terrain vehicles, equipped with flex fuel E85 capability may have been built with the fuel composition sensor mounted below the frame, exposing the sensor and fuel lines to road debris. This may result in a fuel line emitting fuel odor, weeping, or leaking. In addition, the vehicle may experience engine stumble, loss of power.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers will reprogram the transmission control module (TCM).,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
complete,# 12312 : OIL LIFE MONITOR UPDATE,,2013-02-05,,,,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
complete,Tailpipe Emissions – Oxygen Sensor,,2020-10-01,"General Motors has decided to conduct a voluntary emissions recall involving certain 2012-2013 Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine and certified to the EPA Bin 4 emission standard and the California Cleaner Federal Vehicle option of Bin 4 emission standard. The vehicle’s post-catalyst oxygen sensor may provide inaccurate information to the engine control module, which manages engine combustion air-fuel ratios. If this condition occurs, tail pipe emissions may exceed allowed limits, without providing any notification to the driver. The malfunction indicator lamp (check engine light) will not illuminate.","If this condition occurs, tail pipe emissions may exceed allowed limits, without providing any notification to the driver.",Dealers are to replace the post-catalyst oxygen sensor.,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,Wiper Transmission Arm Linkage Failure – USA Only,,2022-07-14,"On certain 2010-2012 model year Chevrolet Equinox and GMC Terrain vehicles, the ball joints in the front windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.",,Dealers are to inspect the front wiper assembly and replace the wiper linkages or module as necessary. The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,Catalytic Converter and Oxygen Sensor Performance Degradation,,2020-10-01,"Some 2012-2013 model year Chevrolet Equinox or GMC Terrain vehicles, equipped with a 2.4L engine may exhibit catalytic converter degraded catalytic converter and/or oxygen sensors caused by excessive engine oil consumption.

The excessive oil consumption issue that causes this emissions parts condition is defined as an engine consuming a quart of oil or more in less than 2,000 miles [3,200 km] of driving. Signs a vehicle may have excessive oil consumption include that it needs frequent oil refilling, or that the engine creates an audible rattle or knocking sound, or that the engine oil pressure warning light illuminates on the instrument panel, or that the following message appears in the Driver Information Center: “Oil Pressure Low – Stop Engine.”

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (241,400 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,"Determine if the vehicle has, or has been repaired for, an excessive engine oil consumption condition due to piston ring wear by  1.Performing an excessive engine oil consumption test, or  2.Examining IVH or other service records to determine if a repair has been performed to remedy excessive oil consumption due to piston ring wear. If the vehicle has, or has been repaired for, an excessive engine oil consumption condition due to piston ring wear, replace the catalytic converters and oxygen sensors. See also Special Coverage bulletins 16118, N192291100 or N192291101 “Excessive Engine Oil Consumption” for repair of engine and other components.   Note: The special coverage terms for excessive engine oil consumption may be different than the special coverage terms for the catalytic converter and oxygen sensor degradation. The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,# 16118 : Excessive Engine Oil Consumption,,2017-04-28,"Some 2012 model year Chevrolet Equinox and GMC Terrain vehicles, equipped with a 2.4L engine, may exhibit excessive engine oil consumption (less than 2,000 miles [3,200 km] per quart [0.946 L] of engine oil), due to piston ring wear. If this condition is present, an audible rattle or knock from the engine may be heard.  The engine oil pressure telltale may illuminate on the instrument panel or the following message may appear in the Driver Information Center: “Oil Pressure Low – Stop Engine”.",,Dealers are to perform an oil consumption test and install new pistons and piston rings.  The repairs will be made at no charge to the Customer.,https://www.chevrolet.com/ownercenter/api/2GNFLEEK1C6137203/gfas?cb=16777551996700.4782935067564471
incomplete,Loss of Continuity within Accelerator Pedal Position Sensor Circuit,,2019-08-15,"Some 2017-2018 model year Buick LaCrosse, 2018 model year Buick Regal, 2016-2018 model year Chevrolet Malibu vehicles may have a condition that affects the electrical connection to one of the vehicle’s accelerator pedal position sensors. If this electrical connection is interrupted, the accelerator pedal will still function, but the vehicle will enter a reduced engine power mode where the vehicle’s maximum acceleration and torque are reduced. Additionally, the Malfunction Indicator Light (Check Engine Light) will illuminate, the ‘Engine Power is Reduced’ message will display, and a diagnostic trouble code for Accelerator Pedal Position Sensor Correlation (P2138) will be set when this condition occurs.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the accelerator pedal and position sensor assembly as necessary and repair the engine wire harness (Malibu LFV only). The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1ZE5STXGF270057/gfas?cb=16777551996700.4782935067564471
complete,# 17019 : 2016-2017 Chevrolet Malibu - Stochastic Pre Ignition SPI Causing Cracked Piston,,2017-02-04,"Certain 2016 and 2017 model year Chevrolet Malibu vehicles equipped with a 1.5L LFV engine may have a pre-ignition condition that could cause piston damage.  If this condition occurs, the vehicle may perform poorly and oil consumption could increase.  In addition, a service engine light may illuminate indicating an engine misfire.  If the condition is present, and the repair below is not completed before multiple pre-ignition events occur, a piston may be damaged and the engine may need to be repaired or replaced.",,Reprogram the Engine Control Module (ECM) and change the engine oil with ACDelco dexos 1 Full-Synthetic motor oil of the part number as indicated in the parts section. (In Canada use the exact Mobil 1 part number specified in the parts section). It is very important that only oil with the correct part number is used in this repair.,https://www.chevrolet.com/ownercenter/api/1G1ZE5STXGF270057/gfas?cb=16777551996700.4782935067564471
incomplete,Center High Mount Stop Lamp Water Leak,,2019-08-07,"Some 2016 or 2017 model year Chevrolet Malibu vehicles, may have a condition where water may leak in into the center high mount stop lamp (CHMSL) possibly causing a wet headliner or water in the spare tire well.

This special coverage covers the condition described above for a period of 6 years or 72,000 miles (116,000 km) [use metric conversion table to determine km], whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,"Dealers are to inspect for evidence of water at the high mounted stop lamp and if necessary, repair the center high mounted stop lamp with a lamp kit containing insulators and new fasteners.  The original lamp assembly is retained.  The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/1G1ZE5STXGF270057/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 15356,,2006-05-23,"On some 2007-2012 model year Chevrolet Malibu, 2007-2010 model year Pontiac G6, or 2007-2010 model year Saturn AURA vehicles equipped with electric power steering assist (EPS), the steering column torque sensor or the EPS motor/controller may cause the vehicle to suddenly lose EPS. If the vehicle loses EPS, the vehicle’s driver information center will display a warning message and a warning chime will sound. The vehicle will revert to a manual steering mode, which requires greater driver effort to operate at low vehicle speeds.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1ZC5EB7AF256228/gfas?cb=16777551996700.4782935067564471
complete,# 13036 : BRAKE LAMP MALFUNCTION,14V252,2014-08-19,"General Motors has decided that a defect which relates to motor vehicle safety exists in 2004-2012 Malibu, 2004-2007 Malibu Maxx, 2005-2010 Pontiac G6, 2007-2010 Saturn Aura vehicles.  On these vehicles, over time an increased resistance can develop in the Body Control Module (BCM) connection system and result in voltage fluctuations or intermittency in the Brake Apply Sensor (BAS) circuit that can cause service brake lamp malfunction.  As a result, the service brake lamps may illuminate when the service brakes are not being applied, or may not illuminate when the service brakes are being applied.  Additionally, cruise control may not engage.  If cruise control is engaged, additional service brake pedal travel may be required to disengage it.  Service brake pedal application may not be required to move the shift lever out of PARK, or additional service brake pedal travel may be required to move the shift lever out of PARK.  Traction control, electronic stability control, and panic braking assist features, if equipped, may be disabled.  Service ESC and/or Traction Control tell-tales may illuminate with this condition.",These conditions may increase the risk of a crash.,"Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to both the BCM and harness connector and on the BAS and harness connector, and relearn the brake pedal home position free of charge.",https://www.chevrolet.com/ownercenter/api/1G1ZC5EB7AF256228/gfas?cb=16777551996700.4782935067564471
incomplete,# 16188 : Brake Lamp Malfunction,,2017-03-02,"Some 2004-2012 model year Chevrolet Malibu, 2004-2007 model year Chevrolet Malibu Maxx, 2005-2010 model year Pontiac G6, and 2007-2009 model year Saturn AURA vehicles may have a condition where increased resistance in the body control module (BCM) connection system can result in voltage fluctuations or intermittency in the brake apply sensor (BAS) circuit that can cause brake lamp malfunction. Specifically, the brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.

This special coverage covers the condition described above for a period of 15 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.","The brake lamps may either illuminate without the brake pedal applied, or turn off when the pedal is applied.","Dealers are to attach the wiring harness to the BCM with a spacer, apply dielectric lubricant to the BCM X2 (C2) connector and the BAS harness connector, and relearn the brake pedal home position.  The repairs will be made at no charge to the customer.",https://www.chevrolet.com/ownercenter/api/1G1ZC5EB7AF256228/gfas?cb=16777551996700.4782935067564471
complete,# 10085 : AIRBAG READINESS LIGHT/SERVICE AIRBAG MESSAGE - REROUTE WIREHARNESS/REPLACE,,2010-05-13,,,,https://www.chevrolet.com/ownercenter/api/1G1ZC5EB7AF256228/gfas?cb=16777551996700.4782935067564471
incomplete,# 18055 : Side Impact Airbag Light On,,2018-03-15,"Some 2010 model year Chevrolet Malibu and Pontiac G6 vehicles, may have a condition where the front seat side impact airbag (SIAB) connectors under the seat may experience small relative movement between the pins and sockets. DTC’s related to SIAB wiring connectors may be found even with product improvements implemented at the assembly plant or through previous completion of Customer Satisfaction Recalls 10085 (May, 2010) or 11034 (May, 2011).",,Dealers are to cut out the side airbag connector and hard wire connection. The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1ZC5EB7AF256228/gfas?cb=16777551996700.4782935067564471
complete,# 03011 : REMOTE KEYLESS ENTRY (RKE) SYSTEM INOPERATIVE,,2003-03-05,,,,https://www.chevrolet.com/ownercenter/api/1GNEC13Z33R209401/gfas?cb=16777551996700.4782935067564471
complete,# 12312 : OIL LIFE MONITOR UPDATE,,2013-02-05,,,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
complete,# 43180 : 2010-2011 Chevrolet Equinox with LAF -  GM to perform recall on the high pressure fuel pump,,2016-09-29,General Motors has decided to conduct a Voluntary Emission Recall involving certain 2010-2011 model year Chevrolet Equinox and GMC Terrain vehicles equipped with a 2.4L engine.  The engine mounted high pressure fuel pump in these vehicles may develop excessive wear on the plunger piston shaft and shaft seal.  ,If this happens fuel can leak into the engine oil crankcase and result in the engine running rough and illumination of the malfunction indicator lamp. ,Dealers are to replace the high pressure fuel pump. ,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
complete,Wiper Transmission Arm Linkage Failure,,2019-12-17,"Some 2010-2017 model year Equinox or Terrain vehicles may have a condition where a link ball socket in the Front wiper transmission may separate. If this were to occur, the driver would experience a sudden loss of Front wiper function.
	
This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the front wiper module with the latest version with improved sockets and a new water shield.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14710,,2001-01-01,"On certain 2010-2011 model year Chevrolet Equinox and GMC Terrain vehicles, high resistance in the side-impact airbag circuit may cause the airbag-readiness light to illuminate and the “SERVICE AIR BAG” message to display.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.
",,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,# 15810 : Catalytic Converter Replacement,,2016-08-05,"Some 2010-2011 model year Chevrolet Equinox or GMC Terrain vehicles equipped with a 2.4L engine, may have a condition where a malfunction-indicator light (MIL) may illuminate due to thermal damage or face erosion of the catalytic converter.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Replace the catalytic converter.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14159,,2001-01-01,,,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 12313,,2001-01-01,"Some 2010 and 2011 model year Buick LaCrosse, Chevrolet Equinox, and GMC Terrain vehicles; and 2011 model year Buick Regal vehicles, equipped with a 2.4L engine, the chrome layer on the balance chain pins may wear, allowing the chain to stretch. This would cause an engine noise, and if left untreated, could cause the chain to break, leading to engine damage.  In addition, the fuel pump plunger shaft seal may wear and allow fuel to leak into the crankcase, which would illuminate the Malfunction Indicator Light. This can cause engine run-on and/or the engine to run rough.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
complete,# 14535 : CARBON MONOXIDE EMISSIONS,,2015-03-02,,,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14232,,2001-01-01,"Some 2012-2014 model year Buick Verano, 2011-2014 model year Chevrolet Cruze and Volt, 2010-2014 model year Chevrolet Equinox and GMC Terrain, and 2013-2014 model year Chevrolet Malibu vehicles may have increased friction in the steering system. This could cause the steering wheel to stick in the straight-ahead position after driving long distances on a straight highway. The steering wheel can be turned but it may require increased effort.

This special coverage covers the condition described above for a period of 10 years or 150,000 miles (240,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Wiper Transmission Arm Linkage Failure – USA Only,,2022-07-14,"On certain 2010-2012 model year Chevrolet Equinox and GMC Terrain vehicles, the ball joints in the front windshield wiper modules of these vehicles may experience high corrosion and wear that could result in the separation of one or more ball joints from their sockets during wiper operation.  If a ball joint were to separate, one or both of the windshield wipers could become inoperative.",,Dealers are to inspect the front wiper assembly and replace the wiper linkages or module as necessary. The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/2CNFLNEW9A6336732/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 14582,,2001-01-01,"On some 2008 model year (MY) Saturn Outlook; 2008-2009 MY Buick Allure, Chevrolet Equinox, Chevrolet Uplander, Pontiac G8, Pontiac Montana SV6, Pontiac Torrent, and Saturn VUE; 2008-2010 MY Hummer H3 and Pontiac G6; 2008-2011 MY Cadillac CTS, Cadillac SRX, and Chevrolet Impala; 2008, 2011-2012 MY Chevrolet Captiva; 2008-2011 MY Buick Enclave, Buick Lacrosse; 2008-2012 MY Chevrolet Colorado, Chevrolet Malibu, and GMC Canyon; 2009 MY Hummer H3T; 2009-2011 MY Buick Lucerne; 2009-2011 MY Chevrolet Traverse and GMC Acadia; and 2010-2011 MY Buick Regal vehicles, the throttle-position sensor may cause the engine to run rough, cause the malfunction-indicator lamp and/or an engine reduced power message to illuminate, and reduce the engine’s power.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/2CNDL43F486067585/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 10250,,2007-04-03,,,,https://www.chevrolet.com/ownercenter/api/2CNDL43F486067585/gfas?cb=16777551996700.4782935067564471
complete,# 08278 : LOSS OF AIR CONDITIONING - REMOVE CONDENSER SHIELD - ** EXPIRES 09/30/09 **,,2008-09-04,,,,https://www.chevrolet.com/ownercenter/api/2CNDL43F486067585/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage 12191,,2001-01-01,"Some 2006 model year Pontiac Pursuit, 2006-2007 model year Saturn ION, 2006-2009 model year Chevrolet Cobalt, 2007-2009 model year Chevrolet Equinox, Pontiac G5, and Torrent, and 2008-2009 model year Chevrolet Uplander and Pontiac Montana SV6 vehicles may have a condition where the plastic supply or return port on the fuel pump cracks and leaks fuel or fuel vapors. Fuel vapors, in the presence of an ignition source, could potentially cause a vehicle fire.  The symptoms of this condition are: a noticeable fuel odor while the vehicle is being driven or after it is parked; the Check Engine Soon light may be illuminated on the instrument cluster; if the crack is large enough, fuel may be observed on the ground, or vehicle performance may be affected

Under this special coverage, should a vehicle ever experience this condition, the owner must take the vehicle to their GM dealer and have the dealer inspect the vehicle, confirm the condition, and then repair that vehicle for free.",,,https://www.chevrolet.com/ownercenter/api/2CNDL43F486067585/gfas?cb=16777551996700.4782935067564471
incomplete,# 15682 : Fuel and Vapor Leaks due to cracks in the fuel pump module flange or leaks past the sender seal - 2007-2013 Chevrolet Corvette & 2007-2009 Cadillac XLR,,2017-01-13,"Some 2007 to 2009 model year XLR or 2007 to 2013 model year Corvette vehicles may have a condition where a fuel odor is detected, fuel droplets appear below the left-hand fuel tank with fuel gauge level above 1/2, or a malfunction indicator lamp illuminates due to a leak path in the left-hand fuel pump module flange.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,Dealers are to replace the left hand fuel tank fuel pump module.  The repairs will be made at no charge to the customer.,https://www.chevrolet.com/ownercenter/api/1G1YY26U575119525/gfas?cb=16777551996700.4782935067564471
incomplete,Special Coverage N150643,,2003-03-10,"Some 2004-2009 model year Cadillac XLR and 2005-2013 model year Chevrolet Corvette vehicles, equipped with power seats, may have a condition where, the wire harness connector from the seat side airbag and buckle tensioner to the body has a design interference between the vertical adjust crossbar and the carpet.  When the seat is moved forward or back, the connector may be dragged along the carpet, pulling terminals loose or pulling the connector apart. This will cause a diagnostic trouble code to be set and the service airbag light will be illuminated.

This special coverage covers the condition described above for a period of 10 years or 120,000 miles (193,000 km), whichever occurs first, from the date the vehicle was originally placed in service, regardless of ownership.",,,https://www.chevrolet.com/ownercenter/api/1G1YY26U575119525/gfas?cb=16777551996700.4782935067564471
